ID_A,DESIGNATION,ID_TYPE,ID_FAMILLE,LONGUEUR,LARGEUR,EPAISSEUR,U_Pqt,DIAMETRE,HAUTEUR,QTE_STO,QTE_MIN,CHEMIN_IMG,Qte/U,Vol,TYPE,FAMILLE,UNITE,ID_TARIF,PRIX_U,TX,PV_HT
134,F60p/2.5x60x13,3,5,2.50,60,13,20,0,0,0,0,../images/Frisette.png,0.15000,0.00195,Bois profile,A peindre,M2,32,17355.30,-15,14752
135,P60p/2.5x60x26,3,5,2.50,60,26,12,0,0,0,0,../images/Parquet.png,0.15000,0.00390,Bois profile,A peindre,M2,35,22734.95,-15,19325
137,F86p/2.5x86x13,3,5,2.50,86,13,14,0,0,0,0,../images/Frisette.png,0.21500,0.00280,Bois profile,A peindre,M2,31,16268.15,-15,13828
138,P86p/2.5x86x26,3,5,2.50,86,26,8,0,0,0,0,../images/Parquet.png,0.21500,0.00559,Bois profile,A peindre,M2,34,21694.55,-15,18440
141,F110p/2.5x110x13,3,5,2.50,110,13,12,0,0,0,0,../images/Frisette.png,0.27500,0.00358,Bois profile,A peindre,M2,30,15191.20,-15,12913
144,F60p/2x60x13,3,5,2.00,60,13,20,0,0,0,0,../images/Frisette.png,0.12000,0.00156,Bois profile,A peindre,M2,32,17355.30,-15,14752
145,P60p/2x60x26,3,5,2.00,60,26,15,0,0,0,0,../images/Parquet.png,0.12000,0.00312,Bois profile,A peindre,M2,35,22734.95,-15,19325
147,F86p/2x86x13,3,5,2.00,86,13,14,0,0,0,0,../images/Frisette.png,0.17200,0.00224,Bois profile,A peindre,M2,31,16268.15,-15,13828
148,P86p/2x86x26,3,5,2.00,86,26,10,0,0,0,0,../images/Parquet.png,0.17200,0.00447,Bois profile,A peindre,M2,34,21694.55,-15,18440
151,F110p/2x110x13,3,5,2.00,110,13,12,0,0,0,0,../images/Frisette.png,0.22000,0.00286,Bois profile,A peindre,M2,30,15191.20,-15,12913
154,F60p/1.5x60x13,3,5,1.50,60,13,20,0,0,0,0,../images/Frisette.png,0.09000,0.00117,Bois profile,A peindre,M2,32,17355.30,-15,14752
155,P60p/1.5x60x26,3,5,1.50,60,26,21,0,0,0,0,../images/Parquet.png,0.09000,0.00234,Bois profile,A peindre,M2,35,22734.95,-15,19325
157,F86p/1.5x86x13,3,5,1.50,86,13,14,0,0,0,0,../images/Frisette.png,0.12900,0.00168,Bois profile,A peindre,M2,31,16268.15,-15,13828
158,P86p/1.5x86x26,3,5,1.50,86,26,10,0,0,0,0,../images/Parquet.png,0.12900,0.00335,Bois profile,A peindre,M2,34,21694.55,-15,18440
161,F110p/1.5x110x13,3,5,1.50,110,13,12,0,0,0,0,../images/Frisette.png,0.16500,0.00215,Bois profile,A peindre,M2,30,15191.20,-15,12913
164,F60p/1x60x13,3,5,1.00,60,13,40,0,0,0,0,../images/Frisette.png,0.06000,0.00078,Bois profile,A peindre,M2,32,17355.30,-15,14752
165,P60p/1x60x26,3,5,1.00,60,26,30,0,0,0,0,../images/Parquet.png,0.06000,0.00156,Bois profile,A peindre,M2,35,22734.95,-15,19325
167,F86p/1x86x13,3,5,1.00,86,13,28,0,0,0,0,../images/Frisette.png,0.08600,0.00112,Bois profile,A peindre,M2,31,16268.15,-15,13828
168,P86p/1x86x26,3,5,1.00,86,26,20,0,0,0,0,../images/Parquet.png,0.08600,0.00224,Bois profile,A peindre,M2,34,21694.55,-15,18440
170,F110p/1x110x13,3,5,1.00,110,13,24,0,0,0,0,../images/Frisette.png,0.11000,0.00143,Bois profile,A peindre,M2,30,15191.20,-15,12913
171,F60p/0.75x60x13,3,5,0.75,60,13,40,0,0,0,0,../images/Frisette.png,0.04500,0.00059,Bois profile,A peindre,M2,32,17355.30,-15,14752
172,P60p/0.75x60x26,3,5,0.75,60,26,30,0,0,0,0,../images/Parquet.png,0.04500,0.00117,Bois profile,A peindre,M2,35,22734.95,-15,19325
173,F86p/0.75x86x13,3,5,0.75,86,13,28,0,0,0,0,../images/Frisette.png,0.06450,0.00084,Bois profile,A peindre,M2,31,16268.15,-15,13828
174,P86p/0.75x86x26,3,5,0.75,86,26,20,0,0,0,0,../images/Parquet.png,0.06450,0.00168,Bois profile,A peindre,M2,34,21694.55,-15,18440
175,F110p/0.75x110x13,3,5,0.75,110,13,24,0,0,0,0,../images/Frisette.png,0.08250,0.00107,Bois profile,A peindre,M2,30,15191.20,-15,12913
176,F60p/0.5x60x13,3,5,0.50,60,13,40,0,0,0,0,../images/Frisette.png,0.03000,0.00039,Bois profile,A peindre,M2,32,17355.30,-15,14752
177,P60p/0.5x60x26,3,5,0.50,60,26,30,0,0,0,0,../images/Parquet.png,0.03000,0.00078,Bois profile,A peindre,M2,35,22734.95,-15,19325
178,F86p/0.5x86x13,3,5,0.50,86,13,28,0,0,0,0,../images/Frisette.png,0.04300,0.00056,Bois profile,A peindre,M2,31,16268.15,-15,13828
179,P86p/0.5x86x26,3,5,0.50,86,26,20,0,0,0,0,../images/Parquet.png,0.04300,0.00112,Bois profile,A peindre,M2,34,21694.55,-15,18440
180,F110p/0.5x110x13,3,5,0.50,110,13,24,0,0,0,0,../images/Frisette.png,0.05500,0.00072,Bois profile,A peindre,M2,30,15191.20,-15,12913
183,F60v/2.5x60x13,3,6,2.50,60,13,20,0,0,0,0,../images/Frisette.png,0.15000,0.00195,Bois profile,A vernir,M2,32,20418.00,0,20418
184,P60v/2.5x60x26,3,6,2.50,60,26,12,0,0,0,0,../images/Parquet.png,0.15000,0.00390,Bois profile,A vernir,M2,35,26747.00,0,26747
186,F86v/2.5x86x13,3,6,2.50,86,13,14,0,0,0,0,../images/Frisette.png,0.21500,0.00280,Bois profile,A vernir,M2,31,19139.00,0,19139
187,P86v/2.5x86x26,3,6,2.50,86,26,8,0,0,0,0,../images/Parquet.png,0.21500,0.00559,Bois profile,A vernir,M2,34,25523.00,0,25523
