1,Planche,1
2,Madrier,1
3,Battant,1
4,Chevron,1
5,Latte,1
7,Frisette F60,3
8,Frisette F86,3
9,Frisette F110,3
10,Frisette P110,3
11,Panneaux,3
12,Clin CL105,3
13,Parquet P60,3
14,Parquet P86,3
15,Gorge G28,3
16,Plinthe PL60,3
17,Plinthe PL90,3
18,Couvre joint CJ40,3
19,Planche de rive PR145,3
20,Planche de rive PR165,3
21,Planche de rive PR280,3
22,Caillebotis,3
23,Dosse,4
24,Kitay,4
25,Déchet,4
26,Charbon,4
27,Briquette,4
28,PJ,5
29,Lamellé collé 65,6
30,Lamellé collé 90,6
31,Lamellé collé 115,6
32,Bois Rond,7
33,Demi Bois rond,7
34,Piquet,7
35,Frisette F60,9
36,Frisette F86,9
37,Frisette F110,9
38,Frisette P110,9
39,Clin CL105,9
40,Parquet P60,9
41,Parquet P86,9
42,Gorge G28,9
43,Plinthe PL60,9
44,Plinthe PL90,9
45,Couvre joint CJ40,9
46,Planche de rive PR145,9
47,Planche de rive PR165,9
48,Planche de rive PR280,9
49,Panneaux,8
